task_id,length,deadline,vm_id,start_time,finish_time,exec_time,cost
3,208,888,0,0.10000,0.42000,0.32000,0.00640
4,719,1227,1,0.10000,1.35500,1.25500,0.01797
2,839,1251,2,0.10000,1.68500,1.58500,0.01525
5,814,1622,2,0.10000,1.68500,1.58500,0.01480
8,115,310,2,1.79500,2.00409,0.20909,0.00209
1,1149,1499,1,0.10000,2.11409,2.01409,0.02873
6,1093,1957,0,0.53000,2.22409,1.69409,0.03363
7,403,844,1,1.46500,2.22409,0.75909,0.01007
0,1893,2095,0,0.10000,3.02615,2.92615,0.05825
9,778,1474,0,2.33409,3.53385,1.19976,0.02394
