task_id,length,deadline,vm_id,start_time,finish_time,exec_time,cost
8,115,310,2,0.10000,0.31455,0.21455,0.00209
3,208,888,2,0.42455,0.85538,0.43084,0.00378
2,839,1251,0,0.10000,1.43154,1.33154,0.02582
7,403,844,2,0.96538,1.81154,0.84615,0.00733
1,1149,1499,1,0.10000,2.03154,1.93154,0.02873
4,719,1227,2,1.92154,3.30909,1.38755,0.01307
0,1893,2095,2,0.10000,3.55909,3.45909,0.03442
9,778,1474,2,3.41909,4.94636,1.52727,0.01415
5,814,1622,2,3.66909,5.16636,1.49727,0.01480
6,1093,1957,2,5.05636,7.04727,1.99091,0.01987
17,441,1322,2,7.14727,8.06000,0.91273,0.00802
16,488,873,2,7.14727,8.06000,0.91273,0.00887
11,501,1382,2,8.17000,9.08182,0.91182,0.00911
14,1308,1624,0,7.14727,9.19182,2.04455,0.04025
12,524,1091,2,8.17000,9.19182,1.02182,0.00953
15,552,1482,2,9.19182,10.30636,1.11455,0.01004
13,824,1341,2,9.30182,10.80454,1.50273,0.01498
18,968,1844,2,10.41636,12.18000,1.76364,0.01760
10,969,1746,2,10.91454,12.79000,1.87545,0.01762
19,993,1846,2,12.29000,14.10182,1.81182,0.01805
21,242,501,2,14.20182,14.74105,0.53923,0.00440
28,558,734,0,14.20182,15.17182,0.97000,0.01717
24,595,782,1,14.20182,15.28182,1.08000,0.01488
25,398,906,2,14.85105,15.68909,0.83804,0.00724
26,1235,1847,0,14.20182,16.10986,1.90804,0.03800
20,1118,1317,2,14.20182,16.32986,2.12804,0.02033
23,402,901,2,15.79909,16.54986,0.75077,0.00731
29,1772,2504,1,14.20182,17.27986,3.07804,0.04430
22,753,1193,2,16.43986,17.81455,1.37469,0.01369
27,812,1657,2,16.65986,18.25091,1.59105,0.01476
35,738,910,0,18.35091,19.54091,1.19000,0.02271
37,693,1008,1,18.35091,19.54091,1.19000,0.01733
32,1261,1744,0,18.35091,20.40594,2.05503,0.03880
30,1309,1612,2,18.35091,20.85231,2.50140,0.02380
38,1513,1767,1,18.35091,20.96231,2.61140,0.03783
31,242,806,2,20.96231,21.40336,0.44105,0.00440
39,1686,1911,2,18.35091,21.51336,3.16245,0.03065
36,1543,2156,0,19.65091,22.03643,2.38552,0.04748
34,734,1179,2,21.51336,22.85189,1.33853,0.01335
33,852,1404,2,21.62336,23.17643,1.55308,0.01549
41,474,583,0,23.27643,24.08726,0.81083,0.01458
43,420,1156,2,23.27643,24.08726,0.81083,0.00764
44,841,1012,1,23.27643,24.77310,1.49667,0.02103
47,792,1131,2,23.27643,24.77310,1.49667,0.01440
49,994,1365,0,23.27643,24.88310,1.60667,0.03058
40,1075,1492,1,23.27643,25.10310,1.82667,0.02688
46,533,1285,2,24.19726,25.21310,1.01583,0.00969
42,593,1407,2,24.88310,25.96552,1.08242,0.01078
45,649,1062,2,25.32310,26.50461,1.18152,0.01180
48,1335,2059,2,26.07552,28.50552,2.43000,0.02427
56,425,572,0,28.60552,29.37014,0.76462,0.01308
55,656,782,1,28.60552,29.70514,1.09962,0.01640
54,1393,1966,2,28.60552,31.20643,2.60091,0.02533
58,1980,2143,0,28.60552,31.70825,3.10273,0.06092
51,1639,2387,2,28.60552,31.70825,3.10273,0.02980
53,1867,2378,1,28.60552,31.81825,3.21273,0.04668
57,673,1335,2,31.31643,32.54552,1.22909,0.01224
50,948,1828,2,31.81825,33.54552,1.72727,0.01724
59,956,1442,2,32.65552,34.39643,1.74091,0.01738
52,1175,2095,2,33.65552,35.90279,2.24727,0.02136
62,109,323,2,36.00279,36.21188,0.20909,0.00198
65,157,282,2,36.00279,36.32188,0.31909,0.00285
66,216,1107,2,36.32188,36.71664,0.39476,0.00393
67,261,771,2,36.43188,36.93664,0.50476,0.00475
64,746,867,0,36.00279,37.15664,1.15385,0.02295
68,527,1364,2,36.82664,37.79006,0.96343,0.00958
63,934,1700,2,37.04664,38.74915,1.70252,0.01698
69,1710,2116,1,36.00279,38.96915,2.96636,0.04275
61,1146,1825,2,37.90006,39.98643,2.08636,0.02084
60,1226,1989,2,38.85915,41.20188,2.34273,0.02229
70,903,1096,0,41.30188,42.80323,1.50135,0.02778
78,782,1330,2,41.30188,42.80323,1.50135,0.01422
72,1077,1358,1,41.30188,43.14643,1.84455,0.02692
73,1927,2821,0,41.30188,44.33034,3.02846,0.05929
74,853,1580,2,42.91323,44.55034,1.63712,0.01551
71,1908,2785,2,41.30188,44.89216,3.59028,0.03469
79,949,1508,2,44.66034,46.39097,1.73063,0.01725
77,965,1846,2,45.00216,46.86915,1.86699,0.01755
75,1433,2421,2,46.50097,49.22097,2.72000,0.02605
76,1641,2476,2,46.97915,50.07733,3.09818,0.02984
83,471,853,2,50.17733,51.03635,0.85902,0.00856
85,630,795,0,50.17733,51.25635,1.07902,0.01938
87,865,1055,1,50.17733,51.62468,1.44735,0.02163
81,963,1401,0,50.17733,51.73468,1.55735,0.02963
88,1026,1260,2,50.17733,52.06468,1.88735,0.01865
84,556,1379,2,51.14635,52.17468,1.02833,0.01011
86,1522,2270,1,50.17733,52.72400,2.54667,0.03805
82,760,1579,2,52.17468,53.55945,1.38477,0.01382
80,1092,1821,2,52.28468,54.38400,2.09932,0.01985
89,1212,1912,2,53.66945,55.99006,2.32061,0.02204
97,103,980,2,56.09006,56.29370,0.20364,0.00187
96,211,549,2,56.40370,56.81544,0.41175,0.00384
98,667,949,0,56.09006,57.15506,1.06500,0.02052
93,410,1039,2,56.92544,57.71083,0.78538,0.00745
95,1146,1483,1,56.09006,58.01083,1.92077,0.02865
92,440,906,2,57.82083,58.73237,0.91154,0.00800
94,1465,1942,2,56.09006,58.84237,2.75231,0.02664
90,1964,2645,0,56.09006,59.17237,3.08231,0.06043
91,647,1484,2,58.84237,60.02279,1.18042,0.01176
99,678,1066,2,58.95237,60.24279,1.29042,0.01233
105,201,1034,2,60.34279,60.81915,0.47636,0.00365
106,528,759,0,60.34279,61.24362,0.90083,0.01625
101,265,865,2,60.92915,61.46362,0.53447,0.00482
103,949,1388,1,60.34279,61.97125,1.62846,0.02373
109,711,1527,2,61.57362,62.87293,1.29931,0.01293
108,1974,2865,0,60.34279,63.39447,3.05168,0.06074
102,1853,2454,2,60.34279,63.84174,3.49895,0.03369
104,725,1587,2,62.98293,64.41810,1.43517,0.01318
107,1572,2525,2,63.95174,66.81461,2.86287,0.02858
100,1676,2663,2,64.52810,67.68734,3.15923,0.03047
113,551,1322,2,67.78734,68.90007,1.11273,0.01002
110,644,1329,2,67.78734,69.01007,1.22273,0.01171
116,1316,1763,0,67.78734,69.81755,2.03021,0.04049
115,653,1613,2,69.01007,70.20300,1.19294,0.01187
119,793,1399,2,69.12007,70.61401,1.49394,0.01442
117,2000,2975,1,67.78734,71.20734,3.42000,0.05000
111,886,1446,2,70.31300,71.92825,1.61524,0.01611
118,945,1483,2,70.72401,72.55643,1.83242,0.01718
114,1090,1637,2,72.03825,74.02552,1.98727,0.01982
112,1263,2207,2,72.66643,74.96552,2.29909,0.02296
121,437,666,2,75.06552,75.86097,0.79545,0.00795
122,1052,1446,0,75.06552,76.77802,1.71250,0.03237
126,1452,1905,1,75.06552,77.52893,2.46341,0.03630
120,794,1484,2,75.97097,77.52893,1.55795,0.01444
129,1429,2130,2,75.06552,77.74893,2.68341,0.02598
124,1763,2371,0,75.06552,77.85893,2.79341,0.05425
123,1923,2683,1,75.06552,78.39052,3.32500,0.04808
125,1009,1932,2,77.63893,79.48007,1.84114,0.01835
128,1406,2388,2,77.85893,80.42188,2.56295,0.02556
127,1719,2599,2,79.59007,82.71825,3.12818,0.03125
132,129,475,2,82.81825,83.16370,0.34545,0.00235
133,426,845,2,83.27370,84.05461,0.78091,0.00775
130,982,1390,0,82.81825,84.44692,1.62867,0.03022
138,1538,1754,0,82.81825,85.20859,2.39034,0.04732
135,1362,1535,1,82.81825,85.20859,2.39034,0.03405
139,1385,1914,1,82.81825,85.20859,2.39034,0.03462
134,1360,1566,2,82.81825,85.31859,2.50034,0.02473
137,602,1137,2,84.16461,85.31859,1.15397,0.01095
136,1144,2016,2,85.42859,87.53916,2.11057,0.02080
131,1579,2377,2,85.42859,88.41189,2.98330,0.02871
144,285,1284,2,88.51189,89.03098,0.51909,0.00518
147,436,1390,2,89.14098,89.97856,0.83758,0.00793
146,966,1225,0,88.51189,90.08856,1.57667,0.02972
142,1628,2419,1,88.51189,91.31022,2.79833,0.04070
145,671,1117,2,90.08856,91.42022,1.33167,0.01220
143,1777,2548,2,88.51189,91.75477,3.24288,0.03231
141,689,1508,2,91.53022,92.89644,1.36621,0.01253
140,698,1319,2,91.86477,93.13916,1.27439,0.01269
149,880,1780,2,93.00644,94.61007,1.60364,0.01600
148,1467,2432,2,93.24916,95.92189,2.67273,0.02667
156,170,791,2,96.02189,96.33280,0.31091,0.00309
159,560,662,0,96.02189,96.99776,0.97587,0.01723
151,625,732,1,96.02189,97.10776,1.08587,0.01563
155,510,1001,2,96.44280,97.48413,1.04133,0.00927
158,558,900,2,97.59413,98.70462,1.11049,0.01015
150,1693,2352,2,96.02189,99.11280,3.09091,0.03078
157,615,1413,2,98.81462,100.04462,1.23000,0.01118
152,826,1546,2,99.22280,100.84098,1.61818,0.01502
154,1110,1901,2,100.15462,102.25916,2.10455,0.02018
153,1830,2787,2,100.95098,104.39189,3.44091,0.03327
165,788,1172,1,104.49189,105.81856,1.32667,0.01970
167,864,1036,0,104.49189,105.92856,1.43667,0.02658
163,965,1216,2,104.49189,106.29734,1.80545,0.01755
169,1315,1461,0,104.49189,106.62734,2.13545,0.04046
164,1494,1703,1,104.49189,106.99068,2.49879,0.03735
162,569,940,2,106.40734,107.55613,1.14879,0.01035
161,1865,2534,2,104.49189,107.89886,3.40697,0.03391
168,921,1430,2,107.66613,109.34462,1.67848,0.01675
166,932,1857,2,108.00886,109.75462,1.74576,0.01695
160,989,1690,2,109.45462,111.36825,1.91364,0.01798
179,469,601,0,111.46825,112.30133,0.83308,0.01443
177,648,852,1,111.46825,112.63133,1.16308,0.01620
174,1105,1354,0,111.46825,113.22825,1.76000,0.03400
172,903,1078,2,111.46825,113.22825,1.76000,0.01642
175,152,944,2,113.33825,113.61461,0.27636,0.00276
171,1522,1820,1,111.46825,114.12628,2.65803,0.03805
170,1815,2196,2,111.46825,114.81825,3.35000,0.03300
176,670,1287,2,113.72461,115.03825,1.31364,0.01218
173,1880,2672,0,112.41133,115.42748,3.01615,0.05785
178,773,1688,2,114.92825,116.33916,1.41091,0.01405
183,603,780,0,116.43916,117.47371,1.03455,0.01855
185,926,1269,1,116.43916,118.01007,1.57091,0.02315
184,1138,1635,2,116.43916,118.60371,2.16455,0.02069
180,136,859,2,118.71371,118.96189,0.24818,0.00247
182,1619,2159,1,116.43916,119.18189,2.74273,0.04048
181,1782,2143,0,116.43916,119.29189,2.85273,0.05483
189,1607,2205,2,116.43916,119.40189,2.96273,0.02922
187,219,1206,2,119.07189,119.51189,0.44000,0.00398
186,1634,2433,0,117.58371,120.10993,2.52622,0.05028
188,935,1424,2,119.51189,121.21734,1.70545,0.01700
199,214,456,2,121.31734,121.74657,0.42923,0.00389
197,415,610,0,121.31734,121.96657,0.64923,0.01277
192,619,784,1,121.31734,122.46824,1.15090,0.01548
198,483,1064,2,121.85657,122.74006,0.88348,0.00878
196,849,1076,2,121.31734,122.95317,1.63583,0.01544
195,1408,1933,0,121.31734,123.60087,2.28353,0.04332
193,502,1497,2,122.84317,123.82087,0.97769,0.00913
194,1831,2064,1,121.31734,124.38920,3.07186,0.04577
190,830,1772,2,123.06317,124.60920,1.54603,0.01509
191,1116,1759,2,123.93087,126.07643,2.14557,0.02029
