task_id,length,deadline,vm_id,start_time,finish_time,exec_time,cost
3,208,888,0,0.10000,0.51600,0.41600,0.00832
4,719,1227,1,0.10000,1.57900,1.47900,0.02157
2,839,1251,2,0.10000,1.79900,1.69900,0.01678
5,814,1622,2,0.10000,1.79900,1.69900,0.01628
8,115,310,2,1.90900,2.24900,0.34000,0.00230
1,1149,1499,1,0.10000,2.46900,2.36900,0.03447
7,403,844,1,1.68900,2.57900,0.89000,0.01209
6,1093,1957,0,0.62600,2.93700,2.31100,0.04372
0,1893,2095,0,0.10000,3.97200,3.87200,0.07572
9,778,1474,0,3.04700,4.63600,1.58900,0.03112
11,501,1382,1,4.73600,5.81500,1.07900,0.01503
12,524,1091,2,4.73600,5.81500,1.07900,0.01048
15,552,1482,2,4.73600,5.92500,1.18900,0.01104
13,824,1341,0,4.73600,6.38700,1.65100,0.03296
10,969,1746,0,4.73600,6.78700,2.05100,0.03876
17,441,1322,1,5.92500,6.89700,0.97200,0.01323
14,1308,1624,1,4.73600,7.36500,2.62900,0.03924
16,488,873,0,6.49700,7.58500,1.08800,0.01952
18,968,1844,2,5.92500,7.92800,2.00300,0.01936
19,993,1846,0,6.89700,9.00800,2.11100,0.03972
21,242,501,1,9.10800,9.61600,0.50800,0.00726
23,402,901,0,9.10800,9.97100,0.86300,0.01608
25,398,906,2,9.10800,9.97100,0.86300,0.00796
24,595,782,1,9.10800,10.33600,1.22800,0.01785
22,753,1193,2,9.10800,10.73600,1.62800,0.01506
28,558,734,2,10.08100,11.20000,1.11900,0.01116
20,1118,1317,0,9.10800,11.42000,2.31200,0.04472
27,812,1657,1,9.72600,11.42000,1.69400,0.02436
26,1235,1847,0,10.08100,12.64000,2.55900,0.04940
29,1772,2504,0,11.53000,15.08000,3.55000,0.07088
31,242,806,1,15.18000,15.66600,0.48600,0.00726
34,734,1179,1,15.18000,16.76200,1.58200,0.02202
35,738,910,2,15.18000,16.76200,1.58200,0.01476
33,852,1404,0,15.18000,16.98200,1.80200,0.03408
37,693,1008,1,15.77600,17.20200,1.42600,0.02079
32,1261,1744,2,15.18000,17.71400,2.53400,0.02522
30,1309,1612,0,15.18000,17.82400,2.64400,0.05236
38,1513,1767,2,16.87200,19.91000,3.03800,0.03026
36,1543,2156,0,17.09200,20.30000,3.20800,0.06172
